symbol,side,entry_price,exit_price,notional_usdt,timestamp
BTCUSDT,LONG,65000,67500,200,2024-01-01 10:00:00
ETHUSDT,SHORT,3200,3050,150,2024-01-02 11:00:00
SOLUSDT,LONG,120,135,100,2024-01-03 09:30:00
BTCUSDT,SHORT,68000,66000,200,2024-01-04 14:00:00
BNBUSDT,LONG,380,395,80,2024-01-05 10:00:00
ETHUSDT,LONG,3100,2950,150,2024-01-06 09:00:00
BTCUSDT,LONG,64000,67000,200,2024-01-07 11:00:00
SOLUSDT,SHORT,140,128,100,2024-01-08 13:00:00
XRPUSDT,LONG,0.55,0.62,80,2024-01-09 10:00:00
BTCUSDT,LONG,66500,69000,200,2024-01-10 09:00:00
ETHUSDT,SHORT,3300,3150,150,2024-01-11 11:00:00
BNBUSDT,LONG,400,420,80,2024-01-12 10:00:00
BTCUSDT,SHORT,70000,67500,200,2024-01-13 14:00:00
SOLUSDT,LONG,130,145,100,2024-01-14 09:00:00
ETHUSDT,LONG,3200,3400,150,2024-01-15 11:00:00
